name,tag,role,expLevel,trophies,warStars,donations
HillTopPop,#G0Y9G8U0Q,admin,205,8,51,113
Jerry Hatrick,#GQ2U8C22U,member,191,0,27,86
Randy man,#9209UQ02V,leader,181,0,350,0
Four,#GL28QQ9RU,member,51,0,3,0
SudoAttack,#G9JJ902YL,member,32,0,0,0
nuttinbutboyz,#2Q0CUUYVP,member,179,0,63,0
Draco,#GQG0JVUQY,member,178,0,17,0
NanaMama,#GY0RRVL9Q,coLeader,226,0,49,58
timr50,#UPQLVP9P,member,151,0,188,0
sudo_sniper,#GC9U2LCJ0,member,56,0,0,0
Dvbman,#GGCYPVU9R,member,6,0,0,0
lowcodejr,#GUQRQCRYY,member,27,0,0,0
NuttinJMC,#GQ0VGQGCL,member,159,0,24,0
b destroyer,#GGYCY9QGU,member,76,0,10,0
Fat Gandalf,#GQYGL89L2,member,115,0,21,0
c223,#GQY08J8C9,member,74,0,4,0
Luke 22:36,#GRYG0L8U0,member,111,0,5,0
lilpilotman116,#GQC0222GL,admin,124,0,41,0
Clueless,#GQLV9RU22,member,105,0,41,0
Goldencarrets,#Y8GL0UVR,coLeader,131,0,219,0
Xander,#GLYC0V02R,member,135,0,25,0
Section8,#GP0JLY9YQ,coLeader,212,0,43,244
Marmot,#GYULG9Y2Q,member,112,0,5,0
Saphira,#GLY9QR9PL,member,137,0,36,0
hulia,#R0PV2LVCY,member,45,0,0,20
Alexandra,#GYG09QVU0,member,54,0,3,0
OrOr HearMeOut,#LCVRJYC2J,member,192,0,51,219
